"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-02-28","22","49","6"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-02-29","40","65","22"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-01","49","69","30"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-02","47","73","29"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-03","46","51","36"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-04","39","47","30"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-05","36","51","24"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-06","43","62","27"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-07","34","33","26"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-08","28","39","23"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-09","33","57","18"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-10","42","66","21"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-11","43","64","25"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-12","49","64","34"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-13","48","53","41"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-14","42","48","33"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-15","38","53","24"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-16","40","58","26"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-17","40","55","22"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-18","38","67","17"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-19","50","70","31"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-20","46","61","26"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-21","49","74","28"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-22","42","53","30"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-23","37","55","27"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-24","36","41","21"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-25","24","30","11"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-26","23","48","9"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-27","36","57","16"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-03-28",,"68","26"
